Site,Date,Time,DateTime,Month,tempC,I,GPP.instant,K.instant,ER.instant,DO.meas,atmo.pressure
Site2,10/24/2022,12:01:00 AM,10/24/2022 0:01,10,13.89,0,0,0.0349,0.074,7.8,0.99
Site2,10/24/2022,12:06:00 AM,10/24/2022 0:06,10,13.89,0,0,0.0349,0.074,7.8,0.99
Site2,10/24/2022,12:11:00 AM,10/24/2022 0:11,10,13.85,0,0,0.0349,0.0738,7.87,0.99
Site2,10/24/2022,12:16:00 AM,10/24/2022 0:16,10,13.85,0,0,0.0349,0.0738,7.87,0.99
Site2,10/24/2022,12:21:00 AM,10/24/2022 0:21,10,13.83,0,0,0.0348,0.0737,7.82,0.99
Site2,10/24/2022,12:26:00 AM,10/24/2022 0:26,10,13.83,0,0,0.0348,0.0737,7.82,0.99
Site2,10/24/2022,12:31:00 AM,10/24/2022 0:31,10,13.77,0,0,0.0348,0.0734,7.8,0.99
Site2,10/24/2022,12:36:00 AM,10/24/2022 0:36,10,13.77,0,0,0.0348,0.0734,7.8,0.99
Site2,10/24/2022,12:41:00 AM,10/24/2022 0:41,10,13.74,0,0,0.0348,0.0732,7.84,0.99
Site2,10/24/2022,12:46:00 AM,10/24/2022 0:46,10,13.74,0,0,0.0348,0.0732,7.84,0.99
Site2,10/24/2022,12:51:00 AM,10/24/2022 0:51,10,13.72,0,0,0.0348,0.0731,7.87,0.99
Site2,10/24/2022,12:56:00 AM,10/24/2022 0:56,10,13.72,0,0,0.0348,0.0731,7.87,0.99
Site2,10/24/2022,1:01:00 AM,10/24/2022 1:01,10,13.66,0,0,0.0347,0.0728,7.65,0.99
Site2,10/24/2022,1:06:00 AM,10/24/2022 1:06,10,13.66,0,0,0.0347,0.0728,7.65,0.99
Site2,10/24/2022,1:11:00 AM,10/24/2022 1:11,10,13.64,0,0,0.0347,0.0727,7.68,0.99
Site2,10/24/2022,1:16:00 AM,10/24/2022 1:16,10,13.64,0,0,0.0347,0.0727,7.68,0.99
Site2,10/24/2022,1:21:00 AM,10/24/2022 1:21,10,13.59,0,0,0.0347,0.0725,7.81,0.99
Site2,10/24/2022,1:26:00 AM,10/24/2022 1:26,10,13.59,0,0,0.0347,0.0725,7.81,0.99
Site2,10/24/2022,1:31:00 AM,10/24/2022 1:31,10,13.57,0,0,0.0346,0.0724,7.8,0.99
Site2,10/24/2022,1:36:00 AM,10/24/2022 1:36,10,13.57,0,0,0.0346,0.0724,7.8,0.99
Site2,10/24/2022,1:41:00 AM,10/24/2022 1:41,10,13.52,0,0,0.0346,0.0721,7.74,0.99
Site2,10/24/2022,1:46:00 AM,10/24/2022 1:46,10,13.52,0,0,0.0346,0.0721,7.74,0.99
Site2,10/24/2022,1:51:00 AM,10/24/2022 1:51,10,13.5,0,0,0.0346,0.072,7.82,0.99
Site2,10/24/2022,1:56:00 AM,10/24/2022 1:56,10,13.5,0,0,0.0346,0.072,7.82,0.99
Site2,10/24/2022,2:01:00 AM,10/24/2022 2:01,10,13.45,0,0,0.0345,0.0718,7.78,0.99
Site2,10/24/2022,2:06:00 AM,10/24/2022 2:06,10,13.45,0,0,0.0345,0.0718,7.78,0.99
Site2,10/24/2022,2:11:00 AM,10/24/2022 2:11,10,13.43,0,0,0.0345,0.0716,7.81,0.99
Site2,10/24/2022,2:16:00 AM,10/24/2022 2:16,10,13.43,0,0,0.0345,0.0716,7.81,0.99
Site2,10/24/2022,2:21:00 AM,10/24/2022 2:21,10,13.38,0,0,0.0345,0.0714,7.86,0.99
Site2,10/24/2022,2:26:00 AM,10/24/2022 2:26,10,13.38,0,0,0.0345,0.0714,7.86,0.99
Site2,10/24/2022,2:31:00 AM,10/24/2022 2:31,10,13.31,0,0,0.0344,0.0711,7.89,0.99
Site2,10/24/2022,2:36:00 AM,10/24/2022 2:36,10,13.31,0,0,0.0344,0.0711,7.89,0.99
Site2,10/24/2022,2:41:00 AM,10/24/2022 2:41,10,13.28,0,0,0.0344,0.0709,7.79,0.99
Site2,10/24/2022,2:46:00 AM,10/24/2022 2:46,10,13.28,0,0,0.0344,0.0709,7.79,0.99
Site2,10/24/2022,2:51:00 AM,10/24/2022 2:51,10,13.21,0,0,0.0343,0.0706,7.95,0.99
Site2,10/24/2022,2:56:00 AM,10/24/2022 2:56,10,13.21,0,0,0.0343,0.0706,7.95,0.99
Site2,10/24/2022,3:01:00 AM,10/24/2022 3:01,10,13.15,0,0,0.0343,0.0703,8.02,0.99
Site2,10/24/2022,3:06:00 AM,10/24/2022 3:06,10,13.15,0,0,0.0343,0.0703,8.02,0.99
Site2,10/24/2022,3:11:00 AM,10/24/2022 3:11,10,13.09,0,0,0.0342,0.07,7.95,0.99
Site2,10/24/2022,3:16:00 AM,10/24/2022 3:16,10,13.09,0,0,0.0342,0.07,7.95,0.99
Site2,10/24/2022,3:21:00 AM,10/24/2022 3:21,10,13.05,0,0,0.0342,0.0698,7.9,0.99
Site2,10/24/2022,3:26:00 AM,10/24/2022 3:26,10,13.05,0,0,0.0342,0.0698,7.9,0.99
Site2,10/24/2022,3:31:00 AM,10/24/2022 3:31,10,13.03,0,0,0.0342,0.0697,7.79,0.99
Site2,10/24/2022,3:36:00 AM,10/24/2022 3:36,10,13.03,0,0,0.0342,0.0697,7.79,0.99
Site2,10/24/2022,3:41:00 AM,10/24/2022 3:41,10,12.98,0,0,0.0341,0.0695,7.87,0.99
Site2,10/24/2022,3:46:00 AM,10/24/2022 3:46,10,12.98,0,0,0.0341,0.0695,7.87,0.99
Site2,10/24/2022,3:51:00 AM,10/24/2022 3:51,10,12.95,0,0,0.0341,0.0693,7.86,0.99
Site2,10/24/2022,3:56:00 AM,10/24/2022 3:56,10,12.95,0,0,0.0341,0.0693,7.86,0.99
Site2,10/24/2022,4:01:00 AM,10/24/2022 4:01,10,12.89,0,0,0.0341,0.069,8.05,0.99
Site2,10/24/2022,4:06:00 AM,10/24/2022 4:06,10,12.89,0,0,0.0341,0.069,8.05,0.99
Site2,10/24/2022,4:11:00 AM,10/24/2022 4:11,10,12.81,0,0,0.034,0.0687,8.1,0.99
Site2,10/24/2022,4:16:00 AM,10/24/2022 4:16,10,12.81,0,0,0.034,0.0687,8.1,0.99
Site2,10/24/2022,4:21:00 AM,10/24/2022 4:21,10,12.8,0,0,0.034,0.0686,8.09,0.99
Site2,10/24/2022,4:26:00 AM,10/24/2022 4:26,10,12.8,0,0,0.034,0.0686,8.09,0.99
Site2,10/24/2022,4:31:00 AM,10/24/2022 4:31,10,12.74,0,0,0.034,0.0683,8.09,0.99
Site2,10/24/2022,4:36:00 AM,10/24/2022 4:36,10,12.74,0,0,0.034,0.0683,8.09,0.99
Site2,10/24/2022,4:41:00 AM,10/24/2022 4:41,10,12.68,0,0,0.0339,0.068,8.1,0.99
Site2,10/24/2022,4:46:00 AM,10/24/2022 4:46,10,12.68,0,0,0.0339,0.068,8.1,0.99
Site2,10/24/2022,4:51:00 AM,10/24/2022 4:51,10,12.63,0,0,0.0339,0.0678,8.12,0.99
Site2,10/24/2022,4:56:00 AM,10/24/2022 4:56,10,12.63,0,0,0.0339,0.0678,8.12,0.99
Site2,10/24/2022,5:01:00 AM,10/24/2022 5:01,10,12.59,0,0,0.0338,0.0676,8.07,0.99
Site2,10/24/2022,5:06:00 AM,10/24/2022 5:06,10,12.59,0,0,0.0338,0.0676,8.07,0.99
Site2,10/24/2022,5:11:00 AM,10/24/2022 5:11,10,12.52,0,0,0.0338,0.0673,8.22,0.99
Site2,10/24/2022,5:16:00 AM,10/24/2022 5:16,10,12.52,0,0,0.0338,0.0673,8.22,0.99
Site2,10/24/2022,5:21:00 AM,10/24/2022 5:21,10,12.48,0,0,0.0337,0.0671,8.19,0.99
Site2,10/24/2022,5:26:00 AM,10/24/2022 5:26,10,12.48,0,0,0.0337,0.0671,8.19,0.99
Site2,10/24/2022,5:31:00 AM,10/24/2022 5:31,10,12.4,0,0,0.0337,0.0667,8.24,0.99
Site2,10/24/2022,5:36:00 AM,10/24/2022 5:36,10,12.4,0,0,0.0337,0.0667,8.24,0.99
Site2,10/24/2022,5:41:00 AM,10/24/2022 5:41,10,12.36,0,0,0.0337,0.0665,8.06,0.99
Site2,10/24/2022,5:46:00 AM,10/24/2022 5:46,10,12.36,0,0,0.0337,0.0665,8.06,0.99
Site2,10/24/2022,5:51:00 AM,10/24/2022 5:51,10,12.3,0,0,0.0336,0.0663,8.27,0.99
Site2,10/24/2022,5:56:00 AM,10/24/2022 5:56,10,12.3,0,0,0.0336,0.0663,8.27,0.99
Site2,10/24/2022,6:01:00 AM,10/24/2022 6:01,10,12.27,0,0,0.0336,0.0661,8.22,0.99
Site2,10/24/2022,6:06:00 AM,10/24/2022 6:06,10,12.27,0,0,0.0336,0.0661,8.22,0.99
Site2,10/24/2022,6:11:00 AM,10/24/2022 6:11,10,12.23,0,0,0.0335,0.0659,8.25,0.99
Site2,10/24/2022,6:16:00 AM,10/24/2022 6:16,10,12.23,0,0,0.0335,0.0659,8.25,0.99
Site2,10/24/2022,6:21:00 AM,10/24/2022 6:21,10,12.2,0,0,0.0335,0.0658,8.21,0.99
Site2,10/24/2022,6:26:00 AM,10/24/2022 6:26,10,12.2,0,0,0.0335,0.0658,8.21,0.99
Site2,10/24/2022,6:31:00 AM,10/24/2022 6:31,10,12.11,0,0,0.0335,0.0654,8.36,0.99
Site2,10/24/2022,6:36:00 AM,10/24/2022 6:36,10,12.11,0,0,0.0335,0.0654,8.36,0.99
