,Equipment,File,Date,GPP.mean,GPP.sd,GPP.median,ER.mean,ER.sd,ER.median,NEP.mean,NEP.sd,NEP.median,PR.mean,PR.sd,PR.median,K.mean,K.sd,K.median,theta.mean,theta.sd,theta.median,A.mean,A.sd,A.median,p.mean,p.sd,p.median,R2,PPP,rmse,rmse.relative,mrl.fraction,ER.K.cor,convergence.check,A.Rhat,K.Rhat,theta.Rhat,p.Rhat,R.Rhat,GPP.Rhat,DIC,pD,totDailyLight,aveDailyTemp,interval,smooth.DO,smooth.PAR,n.iter,n.burnin,
1,,X0520220524.csv,5/24/2022,9.724920925,0.397755418,9.718425904,24.54382921,1.016070879,24.54004281,-14.81890829,0.681978571,-14.81546621,0.39630308,0.007374773,0.396179237,9.444339117,0.405852622,9.434647143,1.07177,0,1.07177,1.40E-05,5.71E-07,1.39E-05,1,0,1,0.920766035,0.548,0.302439932,3.913567917,0.361111111,0.925158562,Fine,1.001436506,1.000875791,1,1,1.001564214,1.001436506,72.64512326,3.876538387,697115.21,19.26320139,600,0,FALSE,20000,10000,4841.077847
2,,X0520220524.csv,5/25/2022,8.379094789,0.353796057,8.366785499,26.16694973,1.059195061,26.16225808,-17.78785494,0.742908873,-17.7821093,0.320233645,0.005074207,0.320230817,11.6875715,0.469451939,11.68212063,1.07177,0,1.07177,2.07E-05,8.76E-07,2.07E-05,1,0,1,0.932151216,0.519666667,0.162693809,2.584958982,0.319444444,0.968829005,Fine,1.004307,1.006670726,1,1,1.00713678,1.004307,-104.8400734,3.869721128,403914.12,20.33859028,600,0,FALSE,20000,10000,2804.959167
3,,X0520220524.csv,5/26/2022,7.016505957,0.506425456,7.000212083,32.86124924,2.302127314,32.81674826,-25.84474328,1.853356604,-25.81250254,0.213585194,0.006465256,0.213686522,14.97217974,1.058652119,14.93826492,1.07177,0,1.07177,3.07E-05,2.22E-06,3.06E-05,1,0,1,0.805860172,0.525,0.226172937,3.669293138,0.263888889,0.984065366,Fine,1.017273495,1.019409004,1,1,1.020749913,1.017273495,-10.67872935,3.972138312,228458.72,20.2478125,600,0,FALSE,20000,10000,1597.613427
4,,Input.csv,6/4/2022,14.57848974,0.542414222,14.57477214,19.26205387,0.77329212,19.25790927,-4.683564133,0.359292459,-4.670981903,0.757040923,0.012617248,0.756871736,8.885572053,0.328488812,8.881960785,1.07177,0,1.07177,0.001425382,5.30E-05,0.001425019,1,0,1,0.933450086,0.503666667,0.393558597,4.382342093,0.229166667,0.747510602,Fine,1.001028688,1.000857767,1,1,1.000838495,1.001028688,148.3573004,4.335482561,10227.7768,20.35166667,600,0,FALSE,20000,10000,
5,,Input.csv,6/5/2022,12.01193513,0.439198677,12.00697963,15.50195103,0.622591842,15.49773213,-3.490015896,0.306524443,-3.487459849,0.775103287,0.014232679,0.775022006,6.80050211,0.257384078,6.796968028,1.07177,0,1.07177,0.001410134,5.16E-05,0.001409552,1,0,1,0.917831087,0.499,0.439411395,4.856215792,0.208333333,0.648492441,Fine,1.000516476,1.000794651,1,1,1.000604711,1.000516476,179.4305038,3.956790609,8518.295215,20.59349306,600,0,FALSE,20000,10000,
6,,Input.csv,6/6/2022,16.78782598,0.818031123,16.75328638,28.94400776,1.48493276,28.88942209,-12.15618178,0.788782102,-12.11453236,0.580191391,0.011174831,0.58009187,12.97786855,0.668009143,12.95009839,1.07177,0,1.07177,0.003811648,0.000185733,0.003803806,1,0,1,0.919484524,0.513666667,0.415703578,3.957795337,0.305555556,0.883048333,Fine,1.001462644,1.001099989,1,1,1.001695954,1.001462644,163.8720036,4.094573622,4404.34791,20.54405556,600,0,FALSE,20000,10000,
7,,Input.csv,6/7/2022,7.322633612,0.402693205,7.313531362,12.88994933,0.762107951,12.85854843,-5.567315719,0.43169499,-5.543342408,0.568398032,0.01418256,0.568349824,7.588857703,0.434098064,7.577203095,1.07177,0,1.07177,0.001659633,9.13E-05,0.00165757,1,0,1,0.885372116,0.517,0.359718124,3.509671426,0.298611111,0.856804327,Fine,1.001755999,1.001684077,1,1,1.001677183,1.001755999,122.3343298,3.728002082,4412.20116,22.02157639,600,0,FALSE,20000,10000,
8,MiniDOT,MiniDOT20220706.csv,7/2/2022,13.36049834,0.447043541,13.36368548,16.32243163,0.646962752,16.31979919,-2.961933293,0.31315638,-2.955175353,0.818846707,0.014309775,0.818764214,4.554305137,0.176341141,4.549639258,1.07177,0,1.07177,0.000619151,2.07E-05,0.000619298,1,0,1,0.924026788,0.527,0.583620596,2.511047983,0.236111111,0.571645758,Fine,1.000835916,1.000610053,1,1,1.000847236,1.000835916,260.7322348,4.03690181,21578.75643,23.51690278,600,0,FALSE,20000,10000,
9,MiniDOT,MiniDOT20220706.csv,7/3/2022,14.18282783,0.597250936,14.17469431,23.39552967,1.050637893,23.38275471,-9.212701836,0.580018143,-9.205614751,0.606414858,0.012144803,0.606214537,6.32569626,0.317265317,6.318922332,1.07177,0,1.07177,0.000718647,3.03E-05,0.000718235,1,0,1,0.885909788,0.495666667,0.645152262,2.01036373,0.222222222,0.777295579,Fine,1.002150845,1.003925977,1,1,1.003637656,1.002150845,289.351678,3.979627352,19735.46546,23.79590972,600,0,FALSE,20000,10000,
10,MiniDOT,MiniDOT20220706.csv,7/4/2022,18.41353409,0.99860001,18.39022262,26.25984305,1.531765961,26.2041481,-7.846308959,0.770004891,-7.826300968,0.701593906,0.017955179,0.701806482,7.098357469,0.422805182,7.088279187,1.07177,0,1.07177,0.001054316,5.72E-05,0.001052981,1,0,1,0.846349022,0.522,0.931338925,2.353853613,0.277777778,0.745464026,Fine,1.001623773,1.001062382,1,1,1.002161915,1.001623773,394.3904458,4.056355294,17464.9162,24.18422222,600,0,FALSE,20000,10000,
11,MiniDOT,MiniDOT20220706.csv,7/5/2022,13.05407921,0.45985231,13.04274422,17.36543134,0.693007112,17.35056314,-4.311352127,0.352463006,-4.311560288,0.75198534,0.01368641,0.751609791,4.9684122,0.191273415,4.964647863,1.07177,0,1.07177,0.000503601,1.77E-05,0.000503164,1,0,1,0.915151778,0.524666667,0.608337429,1.781142098,0.194444444,0.622010199,Fine,1.00110564,1.002361234,1,1,1.001010407,1.00110564,272.0139156,3.569157616,25921.44726,24.87035417,600,0,FALSE,20000,10000,
12,EXO,X20220706.csv,7/2/2022,13.00251565,0.307221476,13.00031786,13.02158294,0.400191308,13.02427768,-0.019067298,0.191185684,-0.014590881,0.998837416,0.01469714,0.998883261,4.921094731,0.133940898,4.92022388,1.07177,0,1.07177,0.000310526,7.34E-06,0.000310473,1,0,1,0.922013497,0.524333333,0.551716304,6.361073963,0.277777778,0.454769136,Fine,1.002997835,1.00240495,1,1,1.003222481,1.002997835,481.5958354,3.708320929,41872.58871,23.52252431,300,0,FALSE,20000,10000,
13,EXO,X20220706.csv,7/3/2022,12.36505742,0.344898025,12.36574908,16.4898729,0.523686996,16.48871373,-4.124815478,0.268527168,-4.123338174,0.750023572,0.010925116,0.749614543,6.038743768,0.211007301,6.035668308,1.07177,0,1.07177,0.000303178,8.46E-06,0.000303195,1,0,1,0.894601768,0.521333333,0.558503066,9.562581823,0.302083333,0.67082339,Fine,1.002634354,1.000606939,1,1,1.001999519,1.002634354,488.9330306,3.913154122,40784.83054,23.788875,300,0,FALSE,20000,10000,
14,EXO,X20220706.csv,7/4/2022,16.69740056,0.519877928,16.68634232,18.02881111,0.659768389,18.01245725,-1.331410554,0.320403979,-1.333947609,0.926463931,0.016215595,0.925907141,7.347557661,0.239146378,7.341636875,1.07177,0,1.07177,0.000463595,1.44E-05,0.000463288,1,0,1,0.8967691,0.504,0.653251183,9.841509959,0.305555556,0.605223868,Fine,1.001052613,1.00080058,1,1,1.000771493,1.001052613,578.8158655,3.876132631,36017.2126,24.16966667,300,0,FALSE,20000,10000,
15,EXO,X20220706.csv,7/5/2022,13.08841736,0.283775785,13.08729029,14.50447636,0.385624429,14.50638068,-1.416058999,0.190220109,-1.415831439,0.90254987,0.011417,0.902541837,4.951314927,0.125741602,4.951126697,1.07177,0,1.07177,0.00027137,5.88E-06,0.000271347,1,0,1,0.929011814,0.489,0.522585715,8.507545998,0.194444444,0.465515941,Fine,1.000731566,1.000511772,1,1,1.000636481,1.000731566,450.8227913,4.008354425,48230.8362,24.85765625,300,0,FALSE,20000,10000,
16,MiniDOT,202209Site1BAYESmetabInput.csv,9/26/2022,13.11273972,0.462803425,13.11959242,24.66797383,0.918947964,24.67325114,-11.55523412,0.53990478,-11.5392223,0.531676329,0.008590157,0.531701852,7.377387866,0.280842736,7.371563792,1.07177,0,1.07177,0.001765906,6.23E-05,0.001766829,1,0,1,0.926126257,0.532,0.436584749,2.53731816,0.201388889,0.855326022,Fine,1.00523177,1.00273621,1,1,1.005092621,1.00523177,177.7034891,3.997690262,7425.50151,18.56661806,600,0,FALSE,20000,10000,
17,MiniDOT,202209Site1BAYESmetabInput.csv,9/27/2022,12.17495725,0.402679904,12.18042755,20.50315731,0.725632663,20.49538793,-8.328200069,0.414605369,-8.32131869,0.593938369,0.00986904,0.594015642,5.570747742,0.197294593,5.574684943,1.07177,0,1.07177,0.001899344,6.28E-05,0.001900197,1,0,1,0.92550177,0.532666667,0.484054922,2.017594195,0.173611111,0.782114472,Fine,1.001642192,1.001559077,1,1,1.003026566,1.001642192,207.1233351,3.924711505,6410.08683,16.94421528,600,0,FALSE,20000,10000,
18,MiniDOT,202209Site1BAYESmetabInput.csv,9/28/2022,13.77870765,0.634177996,13.75969529,24.45435786,1.16553402,24.43197446,-10.67565021,0.67543606,-10.65268375,0.563634734,0.012814843,0.563610211,6.346686727,0.306699358,6.338963409,1.07177,0,1.07177,0.002619495,0.000120565,0.002615881,1,0,1,0.871908291,0.534333333,0.68867451,1.967401769,0.166666667,0.810308106,Fine,1.001111987,1.000734175,1,1,1.000933412,1.001111987,308.2818812,4.14644925,5260.062265,15.90122917,600,0,FALSE,20000,10000,
19,MiniDOT,202209Site1BAYESmetabInput.csv,9/29/2022,10.00258759,0.423135093,9.999991701,16.610847,0.746144757,16.61963041,-6.608259402,0.449896613,-6.603061456,0.602420469,0.01471676,0.602325926,4.832422677,0.220439459,4.829669022,1.07177,0,1.07177,0.001166657,4.94E-05,0.001166354,1,0,1,0.872646729,0.508,0.680945725,2.660458088,0.180555556,0.671769146,Fine,1.001117405,1.00058706,1,1,1.000790703,1.001117405,304.84949,4.117450674,8573.717885,16.12677778,600,0,FALSE,20000,10000,
20,MiniDOT,Downstream_BAYESmetabInput.csv,10/24/2022,4.14,0.27,4.13,22.4,1.08,22.38,-18.26,0.87,-18.24,0.18,0.01,0.18,10.22,0.48,10.22,1.07177,0,1.07177,0.001032095,6.79E-05,0.001031543,1,0,1,0.9,0.53,0.24,1.195850819,0.263888889,0.961463842,Fine,1.000603522,1.001667853,1,1,1.001576704,1.000603522,7.501548743,3.848870632,4007.590065,14.60790278,600,0,FALSE,20000,10000,
21,MiniDOT,Downstream_BAYESmetabInput.csv,10/25/2022,8.06,0.97,8,64.25,7.54,63.95,-56.19,6.62,-55.89,0.13,0,0.13,28.66,3.38,28.5,1.07177,0,1.07177,0.002708004,0.000325719,0.002687269,1,0,1,0.8,0.51,0.21,2.131932474,0.3125,0.996542389,Fine,1.02267195,1.02675598,1,1,1.027391811,1.02267195,-31.86229501,4.209455142,2977.51543,15.38896528,600,0,FALSE,20000,10000,
22,MiniDOT,Downstream_BAYESmetabInput.csv,10/26/2022,7.36,0.67,7.34,37.15,3.05,37.02,-29.79,2.43,-29.65,0.2,0.01,0.2,18.91,1.49,18.84,1.07177,0,1.07177,0.002098857,0.000190604,0.002093397,1,0,1,0.87,0.52,0.22,0.860826054,0.208333333,0.988366007,Fine,1.0191795,1.022951604,1,1,1.022934538,1.0191795,-24.2683005,4.225695115,3508.064535,13.18800694,600,0,FALSE,20000,10000,
23,MiniDOT,Upstream_BASEmetabInput.csv,10/24/2022,2.1,0.38,2.09,6.35,2.03,6.24,-4.25,1.86,-4.13,0.36,0.11,0.34,1.09,0.55,1.05,1.07177,0,1.07177,0.000204374,3.75E-05,0.00020414,1,0,1,0.174333407,0.543,0.769581312,1.687687895,0.326388889,0.973779931,Fine,1.004403963,1.023880521,1,1,1.031878383,1.004403963,340.2474475,4.37272442,10251.99885,14.94288194,600,0,FALSE,20000,10000,
24,MiniDOT,Upstream_BASEmetabInput.csv,10/25/2022,2.43,1.8,2.08,110.14,19.35,109.84,-107.71,19.17,-107.34,0.02,0.02,0.02,16.45,2.85,16.4,1.07177,0,1.07177,0.000993498,0.000737588,0.000852727,1,0,1,0.127498239,0.497666667,2.889225775,3.683045536,0.472222222,0.970173353,Fine,1.001665,1.003671533,1,1,1.003577497,1.001665,722.0437079,9.376028014,2443.351425,15.36105556,600,0,FALSE,20000,10000,
25,MiniDOT,Upstream_BASEmetabInput.csv,10/26/2022,2.9,0.56,2.86,27.27,4.78,27,-24.37,4.35,-24.12,0.11,0.01,0.11,8.2,1.43,8.13,1.07177,0,1.07177,0.00099467,0.000191264,0.000981697,1,0,1,0.313920712,0.541666667,0.546132148,1.216246328,0.145833333,0.992172539,Fine,1.027398057,1.04761146,1,1,1.047731197,1.027398057,241.0187649,3.604823167,2915.80387,14.12379861,600,0,FALSE,20000,10000,
26,MiniDOT,202211EFC_Input.csv,11/9/2022,2.637095721,0.093667011,2.635133663,17.19796823,0.391350932,17.19692441,-14.5608725,0.321094116,-14.5568942,0.153317523,0.003370894,0.153316753,9.399032888,0.206741711,9.39746126,1.07177,0,1.07177,0.000128562,4.57E-06,0.000128467,1,0,1,0.954504453,0.528333333,0.13721535,6.729263819,0.333333333,0.958285313,Fine,1.00394794,1.004076055,1,1,1.004229099,1.00394794,-317.1710708,3.619716836,20512.17526,14.94590278,300,0,FALSE,20000,10000,
27,MiniDOT,202211EFC_Input.csv,11/10/2022,3.168768978,0.09913518,3.166032157,18.59203051,0.384804517,18.58271798,-15.42326153,0.307344811,-15.41541607,0.170418238,0.003097231,0.17045735,9.759794843,0.20141851,9.75349704,1.07177,0,1.07177,0.000147689,4.62E-06,0.000147562,1,0,1,0.973109826,0.529333333,0.133251515,5.923553411,0.3125,0.956292512,Fine,1.003415594,1.004254253,1,1,1.004626495,1.003415594,-333.4933229,4.047135034,21455.66453,14.38022917,300,0,FALSE,20000,10000,
28,MiniDOT,202211EFC_Input.csv,11/11/2022,1.070716929,0.053210396,1.070715185,6.892844054,0.250538379,6.894428198,-5.822127124,0.213363986,-5.824240569,0.155331433,0.005085542,0.155428177,4.780409315,0.152184315,4.779086183,1.07177,0,1.07177,0.000186515,9.27E-06,0.000186515,1,0,1,0.905186862,0.512,0.110286683,4.237413674,0.197916667,0.96687556,Fine,1.002992674,1.009964704,1,1,1.008795423,1.002992674,-441.9002269,3.97879622,5740.65064,15.85050347,300,0,FALSE,20000,10000,
29,MiniDOT,202211EFC_Input.csv,11/12/2022,5.511318928,0.362038398,5.48796248,32.91822993,2.282733203,32.81757519,-27.406911,1.939233443,-27.3285668,0.16749958,0.003380821,0.167479846,24.89772616,1.640244557,24.82874452,1.07177,0,1.07177,0.005046484,0.000331503,0.005025097,1,0,1,0.96554561,0.509666667,0.121547906,5.666987015,0.3125,0.995366892,Fine,1.021351262,1.021432691,1,1,1.021506667,1.021351262,-386.4771764,3.692048554,1092.110685,10.59549306,300,0,FALSE,20000,10000,
30,MiniDOT,202201EFC_input.csv,1/8/2023,6.325587435,0.20549073,6.32038924,18.44189048,0.650543472,18.41375331,-12.11630304,0.482269364,-12.09491007,0.343085298,0.005970994,0.343060373,9.040524867,0.348238603,9.031001315,1.07177,0,1.07177,0.001591378,5.17E-05,0.00159007,1,0,1,0.878690353,0.513333333,0.243309487,2.036248638,0.100694444,0.944183345,Fine,1.000861688,1.000669048,1,1,1.000825,1.000861688,12.08124698,4.005527652,3974.91259,9.503190972,300,0,FALSE,20000,10000,
31,MiniDOT,202201EFC_input.csv,1/9/2023,3.569684356,0.140579297,3.567703229,9.02983731,0.327491608,9.022135976,-5.460152954,0.236336504,-5.453052469,0.395404396,0.010136642,0.39539372,6.210334222,0.203951847,6.207628342,1.07177,0,1.07177,0.000249987,9.84E-06,0.000249849,1,0,1,0.841499634,0.515666667,0.32325636,2.961538064,0.229166667,0.795244563,Fine,1.001578552,1.003273749,1,1,1.002917695,1.001578552,174.8032442,3.805857201,14279.46328,7.800958333,300,0,FALSE,20000,10000,
32,MiniDOT,202201EFC_input.csv,1/10/2023,4.135391885,0.133094622,4.135862547,9.512821519,0.270387411,9.514198446,-5.377429633,0.182894719,-5.374980163,0.434751808,0.008534861,0.434778004,5.778273744,0.166587858,5.776414503,1.07177,0,1.07177,0.000267757,8.62E-06,0.000267788,1,0,1,0.88647798,0.521,0.309530849,3.301065122,0.204861111,0.727958483,Fine,1.002650608,1.000850158,1,1,1.00246619,1.002650608,150.0979257,3.907029305,15444.55517,7.829048611,300,0,FALSE,20000,10000,
33,MiniDOT,202201EFC_input.csv,1/11/2023,8.50401845,0.18662153,8.497354524,15.74278404,0.343492824,15.73679434,-7.238765587,0.193897222,-7.236607862,0.540209873,0.005317503,0.540243706,8.51764003,0.202168653,8.51227363,1.07177,0,1.07177,0.001091135,2.39E-05,0.00109028,1,0,1,0.94379162,0.524666667,0.229083406,3.667810255,0.204861111,0.829790357,Fine,1.000769131,1.000960132,1,1,1.000534217,1.000769131,-22.41932526,4.087563834,7793.73439,10.21194097,300,0,FALSE,20000,10000,
34,MiniDOT,202201EFC_input.csv,1/12/2023,8.999463319,0.314415279,9.003774832,24.324126,0.871007857,24.30382465,-15.32466268,0.588787062,-15.31612185,0.370023721,0.004809278,0.370052176,14.65109493,0.524396924,14.64113292,1.07177,0,1.07177,0.001698936,5.94E-05,0.00169975,1,0,1,0.895149259,0.532333333,0.219014837,2.571085301,0.211805556,0.955708265,Fine,1.002274683,1.001684317,1,1,1.001614297,1.002274683,-48.16641758,4.079277052,5297.11832,11.42991319,300,0,FALSE,20000,10000,
